Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_32_158.jpg;0;0;0;0.4193654;97.75307;84.50479;359.9109;211.2999;359.9919
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_32_224.jpg;0;0;0;0.4174619;97.73165;84.49176;359.9123;211.2999;359.9819
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_32_308.jpg;2.984613;0;0;0.4159931;97.69656;84.46951;359.913;211.4206;359.9846
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_32_374.jpg;6.720473;0;0;0.4137011;97.67607;84.4556;359.9114;211.6112;0.003440582
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_32_440.jpg;9.7008;0;0;0.4115998;97.65608;84.44125;359.9075;211.8962;0.03479282
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_32_508.jpg;12.73378;0;0;0.4085057;97.63017;84.42153;359.8989;212.389;0.09038787
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_32_574.jpg;15;0;0;0.405584;97.61137;84.40634;359.8891;212.8381;0.1409462
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_32_641.jpg;15;0;0;0.4022694;97.5928;84.39107;359.8809;213.2952;0.1863528
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_32_708.jpg;15;0;0;0.3999493;97.56829;84.37056;359.8776;213.9021;0.2343499
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_32_775.jpg;13.48496;0;0;0.3976309;97.55004;84.35519;359.8786;214.3305;0.2596628
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_32_841.jpg;10.4997;0;0;0.3960109;97.53164;84.34005;359.8832;214.688;0.2693233
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_32_908.jpg;7.492435;0;0;0.3951187;97.50683;84.32034;359.8911;215.0348;0.2601621
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_32_975.jpg;4.484903;0;0;0.3940965;97.48797;84.30597;359.8976;215.1961;0.2371249
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_33_041.jpg;1.482145;0;0;0.3924777;97.46894;84.29195;359.9037;215.2794;0.2024536
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_33_108.jpg;0;0;0;0.3910145;97.44336;84.2738;359.9108;215.2841;0.1423993
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_33_175.jpg;0;0;0;0.3896798;97.42426;84.26026;359.9154;215.2841;0.09844808
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_33_242.jpg;0;0;0;0.3878972;97.40523;84.24677;359.9193;215.2841;0.05641233
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_33_309.jpg;0;0;0;0.3865594;97.37997;84.22884;359.9233;215.284;0.004505961
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_33_375.jpg;0;0;0;0.3852227;97.36113;84.21546;359.9255;215.284;359.9694
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_33_446.jpg;0;0;0;0.3834454;97.34235;84.20213;359.9269;215.284;359.938
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_33_509.jpg;0;0;0;0.3821181;97.31743;84.18443;359.9279;215.2839;359.9026
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_33_575.jpg;0;0;0;0.3807972;97.29882;84.17123;359.9279;215.2838;359.881
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_33_642.jpg;0;0;0;0.3790475;97.28028;84.15807;359.9275;215.2838;359.8637
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_33_709.jpg;0;0;0;0.3777445;97.25567;84.14059;359.9263;215.2837;359.8474
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_33_775.jpg;0;0;0;0.3764496;97.23729;84.12756;359.925;215.2837;359.84
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_33_842.jpg;0;0;0;0.3747351;97.21897;84.11458;359.9235;215.2836;359.8365
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_33_909.jpg;0;0;0;0.3734577;97.19464;84.09733;359.9212;215.2835;359.8374
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_33_976.jpg;0;0;0;0.3721868;97.17646;84.08445;359.9195;215.2835;359.8419
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_34_042.jpg;0;0;0;0.3705009;97.15835;84.07161;359.9178;215.2834;359.8492
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_34_109.jpg;0;0;0;0.3692421;97.13428;84.05458;359.9157;215.2834;359.8626
